"^Bw2"||"^B"||2||51|||61|||10||0|0|13|0|7|20|58|89|100|54|88|100|38|68|85|20|40|53|17|60.5|76.3|0.2|6.6|10.6|0.6|11.7|23.6|1.4|17.4|33|4.6|15.3|29.5|3|9.5|48.2|15.3|29.5|65.1|1.1|12.8|34.3|4.5|16.7|35|3|10|17.9|0|0|0.8|0.36|2.21|4.17||||1.34|1.61|1.7||||1.36|1.63|1.72||1.411|4|42|0.09|0.12|0.24||||5.1|17.4|25.8|1.3|9|18.3|16|31|46|0.1|0.4|1.1|0|25|36|0|6|11|0|0|7|".32"|".32"|0|0|10|0|0|0|0|0|0|0|0|0||||0.6|2.4|5.9|0.5|1.5||4.5|5.4|6.5||||||||||3|9.8|17.3|||||||||||||||||||||"25532853"|"76205274"
"^Bw3"||"^B"||3||61|||72|||11||0|0|13|0|7|20|58|89|100|54|88|100|38|68|85|20|40|53|17|60.5|76.3|0.2|6.6|10.6|0.6|11.7|23.6|1.4|17.4|33|4.6|15.3|29.5|3|9.5|48.2|15.3|29.5|65.1|1.1|12.8|34.3|4.5|16.7|35|3|10|17.9|0|0|0.8|0.36|2.21|4.17||||1.34|1.61|1.7||||1.36|1.63|1.72||1.411|4|42|0.09|0.12|0.24||||5.1|17.4|25.8|1.3|9|18.3|16|31|46|0.1|0.4|1.1|0|25|36|0|6|11|0|0|7|".32"|".32"|0|0|10|0|0|0|0|0|0|0|0|0||||0.6|2.4|5.9|0.5|1.5||4.5|5.4|6.5||||||||||3|9.8|17.3|||||||||||||||||||||"25532853"|"76205276"
"3C"|3|"C"||||147|||200|||53||0|0|0|0|0|2|58|94|97|37|83|92|10|27|55|1|2|13|77.7|98.1|100|0|18.7|18.7|0.1|39.5|39.5|11.6|36.3|65.9|3.3|3.3|75.5|0.2|0.3|13.8|0|1.3|17.9|0|0.6|9|0|0.7|10.6|0|0.6|7.3|0|0|0|0|0.15|0.5||||1.45|1.55|1.65||||1.45|1.55|1.65||100|350|705|0.02|0.03|0.1|2.4|8|14.9|0.9|4.2|11.5|0|0.5|5|18|35|41|0|0|0.5|0|0|19|0|0|4|0|0|0|".02"|".02"|0|0|0|0|0|0|0|0|0|0|0|0||||0.1|0.4|4.2|0.4|0.9||4.5|5.2|7.3||||||||||0.2|5|9.2|||||||||||||||||||||"25532853"|"76205272"
"2Bwb"|2|"B"||||72|||132|||60||0|0|0|0|0|0|55|94|100|44|89|100|29|65|79|13|29|40|55|68.9|76.3|0.8|4.6|5.3|7.5|14.6|23.6|15.5|31.4|31.4|11.7|15.3|21.3|3|3|10.7|15.3|19.5|33.5|6|9.5|16|9.3|10|20.5|4.9|11.6|12.1|0|0|0|0.5|0.75|1||||1.25|1.58|1.6||||1.31|1.64|1.64||10|35|100|0.08|0.11|0.18||||7.4|17.3|19.2|2.3|8.2|9.5|21|35|50|0.3|1.1|1.2|17|24|25|2|7|7|0|0|0|".15"|".15"|0|0|0|0|0|0|0|0|0|0|0|0|4.5|10|10.6||||1.2|6.7|8.4|3.5|6|6||||||||||3.7|6.5|19.4|||||||||||||||||||||"25532853"|"76205273"
"3BCb"|3|"BC"||||132|||147|||15||0|0|0|0|0|0|65|93|100|41|86|100|16|40|75|2|5|24|56.4|94.6|100|0|7.7|18.7|0.1|33.5|39.5|11.6|47.8|65.9|3.3|5.1|75.5|0.2|0.5|13.8|0|2.4|33.5|0|1.1|16|0|1.3|20.5|0|3|12.1|0|0|0|0|0.25|0.5||||1.25|1.4|1.6||||1.26|1.41|1.61||100|250|705|0.02|0.03|0.1|2.7|11.3|17.2|0.9|7.3|14.1|0|1.9|7.4|21|41|50|0|0.2|1.2|0|0|24|0|0|7|0|0|0|".02"|".02"|0|0|0|0|0|0|0|0|0|0|0|0|0.1|2.8|10.3||||0|1|9.6|4.5|5.5|6||||||||||1.3|5.2|14.1|||||||||||||||||||||"25532853"|"76205271"
"^Au"||"^A"|||0|0|0|8|20|25||20||0|6|13|0|19|45|47|78|90|34|78|90|19|48|61|8|23|31|62.1|75.5|77.7|4.5|15.5|16.6|14.2|17.7|23.6|16.1|20.6|33.4|9.6|13.7|17.2|2.3|8|10.4|13.3|16.9|28.1|0.2|7.1|13.9|9|9.8|18.8|3.2|7.6|10.2|0|0|0.8|2.47|8.88|10.72||||0.9|1.34|1.5||||0.92|1.36|1.52||0.1|1.41|10|0.05|0.08|0.13||||2.3|23.8|26.3|0.8|16.3|19.3|6|39|58|0.1|0.3|0.8|20|38|44|1|4|5|0|0|0|".17"|".17"|0|2|5|0|0|0|0|0|0|0|0|0|1.8|4.3|5.3||||0.8|24.9|38.6|4.5|7.4|9||||||||||0|8.5|15.5|||||||||||||||||||||"25532854"|"76205277"
"^BCu"||"^BC"|||8|20|25||66|||46||5|10|55|16|22|85|19|72|97|7|70|97|4|43|85|2|20|62|17|75.5|77.7|0.2|15.5|16.6|0.6|17.7|23.6|1.4|20.6|33.4|4.6|13.7|29.5|1.2|8|48.2|13.3|16.9|61.5|0.2|7.1|34.3|4.5|9.8|35|3.2|7.6|26.7|0|0|2.1|0.64|5.29|5.53||||1.25|1.57|1.6||||1.28|1.6|1.78||1|4|10|0.02|0.06|0.17||||2.3|17.4|25.4|0.6|10.5|21.5|7|27|40|0|0.3|2.4|16|30|47|1|4|17|0|0|9|".20"|".20"|0|4|19|0|0|0|0|0|0|0|0|0|1.7|4.2|13.5||||0.8|37.1|52.2|4.5|8|9||||||||||0|3.8|11.6|||||||||||||||||||||"25532854"|"76205279"
"^Cu"||"^C"||||66|||200|||134||14|18|91|18|28|100|18|69|85|7|64|85|4|39|75|2|19|54|17|75.5|77.7|0.2|15.5|16.6|0.6|17.7|23.6|1.4|20.6|33.4|4.6|13.7|29.5|1.2|8|48.2|13.3|16.9|61.5|0.2|7.1|34.3|4.5|9.8|35|3.2|7.6|26.7|0|0|2.4|0.21|10.52|14.38||||0.9|1.55|1.65||||0.92|1.57|1.78||1|4|10|0.02|0.04|0.14||||2.1|10.2|31|0.5|7.8|24.9|6|12|38|0|0.2|2|0|42|66|0|4|17|0|0|8|".20"|".20"|0|12|19|0|0|0|0|0|0|0|0|0|1.7|4.3|13.5||||0.6|43|52.2|4.5|8|9||||||||||0|8.8|20.2|||||||||||||||||||||"25532854"|"76205278"
"^Cu"||"^C"||||28|||46|||18||0|18|20|0|12|31|10|55|69|7|54|68|4|37|64|2|23|49|17|62.1|77.7|0.2|11.2|16.6|0.6|15.4|23.6|1.4|16.4|33.4|4.6|11.4|29.5|1.2|7.7|48.2|13.3|28.1|61.5|0.2|12.3|34.3|4.5|15.8|35|3|9.8|26.7|0|0|0|0.1|0.5|1||||1.56|1.61|1.75||||1.61|1.66|1.96||1|50|100|0|0.06|0.12||||0.6|8.8|21.2|0.1|3.9|16.1|2|18|30|0|0.5|3.4|0|21|39|0|6|18|0|0|5|".10"|".24"|0|0|0|0|0|0|0|0|0|0|0|0|2.7|8.5|21.5||||0.4|3.1|23|4.5|5.5|9||||||||||0|8.2|19.8|||||||||||||||||||||"25532855"|"76205284"
"^Au"||"^A"||||0|||5|||5||0|0|0|0|1|2|10|20|29|6|16|25|4|12|22|2|7|14|45.6|63.4|76.3|0.8|8.5|10.6|2.8|14.5|23.6|6.6|17.9|33|9|13.5|27.9|3|9|21.5|15.3|27.8|49.6|1.1|13.4|27.9|9.1|14.4|22.4|3.6|8.8|14.5|0|0|0|2|2|5||||0.86|1.35|1.64||||0.89|1.38|1.67||1|50|100|0.02|0.04|0.07||||1.3|4.7|9.3|0.4|2|5.8|3|12|25|0|0.2|0.6|19|24|35|1|5|9|0|0|0|".02"|".17"|0|0|0|0|0|0|0|0|0|0|0|0|3.6|8.1|13.2||||0.4|4|14.7|4.5|5.8|9||||||||||0|7.1|17.3|||||||||||||||||||||"25532855"|"76205282"
