LegendText,RgbString
"Plinthudults","#815856"
"Plinthustalfs","#A05DDE"
"Plinthustults","#60B48B"
"Psammaquents","#72A35E"
"Psammorthels","#91965C"
"Psammoturbels","#6090C9"
"Psammowassents","#825B56"
"Quartzipsamments","#5FA95F"
"Rendolls","#FC5656"
"Rhodoxeralfs","#60BEBC"
"Rhodudalfs","#805756"
"Rhodudults","#7E5ED8"
"Rhodustalfs","#60B8A0"
"Rhodustults","#5F68D1"
"Salaquerts","#60BABF"
"Salicryids","#F45898"
"Salitorrerts","#60A0C6"
"Salorthids","#90855A"
"Salusterts","#F95775"
"Sapristels","#60BAAB"
"Sideraquods","#60BDB9"
"Sombrihumox","#61A85F"
"Sombrihumults","#846257"
"Sombriorthox","#8F825A"
"Sombriperox","#615FD3"
"Sombritropepts","#60A9C3"
"Sombriudox","#60A5C5"
"Sombriustox","#94935B"
"Sphagnofibrists","#A75DDF"
"Sulfaquents","#8E985C"
"Sulfaquepts","#5FAA61"
"Sulfaquerts","#5F7ECD"
"Sulfihemists","#73A35E"
"Sulfisaprists","#609EC6"
"Sulfiwassents","#945EDC"
"Sulfiwassists","#608BCA"
"Sulfochrepts","#975EDC"
"Sulfohemists","#60B9A5"
"Sulfosaprists","#6094C8"
"Sulfudepts","#6BA55E"
"Torrerts","#8D985C"
"Torriarents","#F159AD"
"Torrifluvents","#60B79B"
"Torrifolists","#869C5D"
"Torriorthents","#F259A7"
"Torripsamments","#E95BE2"
"Torrox","#60B281"
"Tropaqualfs","#795ED7"
"Tropaquents","#60B2C1"
"Tropaquepts","#F65885"
"Tropaquods","#93955B"
"Tropaquults","#E95BDF"
"Tropofibrists","#925EDB"
"Tropofluvents","#60B48A"
"Tropofolists","#815ED9"
"Tropohemists","#BE5DE2"
"Tropohumods","#608ECA"
"Tropohumults","#5FAC69"
"Tropopsamments","#D65CE5"
"Troporthents","#DE5CE6"
"Troporthods","#8A7359"
"Troposaprists","#839D5D"
"Tropudalfs","#FB565F"
"Tropudults","#6CA55E"
"Udarents","#D25CE5"
"Udifluvents","#7E9F5D"
"Udifolists","#FB5666"
"Udipsamments","#815A56"
"Udivitrands","#60A3C5"
"Udorthents","#8B995C"
"Umbraqualfs","#B85DE1"
"Umbraquox","#E05CE7"
"Umbraquults","#8C7859"
"Umbriorthox","#B15DE0"
"Umbriturbels","#846057"
"Umbrorthels","#5FAE70"
"Ustarents","#7C9F5D"
"Ustifluvents","#F75883"
"Ustifolists","#60B6C0"
"Ustipsamments","#605FD3"
"Ustivitrands","#60B0C2"
"Ustochrepts","#885EDA"
"Ustorthents","#60B693"
"Ustropepts","#809E5D"
"Vermaqualfs","#60AEC2"
"Vermaquepts","#78A15E"
"Vermiborolls","#805555"
"Vermudolls","#93905B"
"Vermustolls","#5F62D2"
"Vitrandepts","#60B89D"
"Vitraquands","#F05AB4"
"Vitricryands","#6A5FD5"
"Vitrigelands","#60B385"
"Vitritorrands","#AF5DE0"
"Vitrixerands","#94955B"
"Xerarents","#79A15E"
"Xerochrepts","#64A85F"
"Xerofluvents","#B25DE0"
"Xeropsamments","#F75881"
"Xerorthents","#D05CE4"
"Xerumbrepts","#5F67D1"
"Not rated or not available","#DCDCDC"
