LegendText,RgbString
"Arenic Aridic Paleustalfs","#7C5ED8"
"Arenic Aridic Paleustolls","#74A25E"
"Arenic Calciargids","#896D58"
"Arenic Endoaqualfs","#A25DDE"
"Arenic Endoaquults","#F85777"
"Arenic Epiaqualfs","#91965C"
"Arenic Epiaquults","#A85DDF"
"Arenic Eutroboralfs","#60B8A1"
"Arenic Eutrochrepts","#F45899"
"Arenic Eutrudepts","#FB5662"
"Arenic Fragiudults","#67A75E"
"Arenic Glossaqualfs","#866758"
"Arenic Glossudalfs","#60BCB1"
"Arenic Haplaquods","#60BDBB"
"Arenic Haplargids","#94935B"
"Arenic Haplohumods","#60BCBE"
"Arenic Haploxerults","#8E7E5A"
"Arenic Hapludalfs","#5FAE71"
"Arenic Hapludults","#FB565E"
"Arenic Haplustalfs","#685FD4"
"Arenic Haplustults","#5F7FCD"
"Arenic Kandiaqualfs","#60B2C1"
"Arenic Kandiaquults","#C45CE3"
"Arenic Kandiudalfs","#EC5BD0"
"Arenic Kandiudults","#5FAA63"
"Arenic Kandiustalfs","#91965C"
"Arenic Kandiustults","#F159B0"
"Arenic Kanhapludults","#60BCB5"
"Arenic Kanhaplustults","#60ADC2"
"Arenic Natrustalfs","#609AC7"
"Arenic Ochraqualfs","#EA5BD7"
"Arenic Ochraquults","#5F60D3"
"Arenic Orthoxic","#EF5AB9"
"Arenic Oxyaquic Eutroboralfs","#6A5FD5"
"Arenic Oxyaquic Glossudalfs","#5F6FD0"
"Arenic Oxyaquic Hapludalfs","#5FAD6C"
"Arenic Paleaquults","#849C5D"
"Arenic Paleargids","#60BAA9"
"Arenic Paleudalfs","#60B48C"
"Arenic Paleudults","#5FB07A"
"Arenic Paleustalfs","#EE5AC4"
"Arenic Palexeralfs","#D05CE5"
"Arenic Plinthaquic Kandiudults","#5FAA62"
"Arenic Plinthaquic Paleudults","#65A75F"
"Arenic Plinthic Kandiaquults","#60B591"
"Arenic Plinthic Kandiudalfs","#F7577E"
"Arenic Plinthic Kandiudults","#60AEC2"
"Arenic Plinthic Kandiustults","#F45897"
"Arenic Plinthic Kanhapludults","#6FA45E"
"Arenic Plinthic Paleaquults","#9E5DDD"
"Arenic Plinthic Paleudalfs","#5FAB66"
"Arenic Plinthic Paleudults","#8A7059"
"Arenic Rhodic Kandiudults","#CB5CE4"
"Arenic Rhodic Paleudults","#8C5EDA"
"Arenic Ultic Alaquods","#E25CE7"
"Arenic Ultic Alorthods","#856357"
"Arenic Ultic Haplaquods","#5F6BD1"
"Arenic Ultic Haplohumods","#879B5D"
"Arenic Umbraqualfs","#945EDC"
"Arenic Umbric Alaquods","#C15DE2"
"Arenic Umbric Haplaquods","#835E57"
"Arenic Umbric Kandiaquults","#8B7459"
"Arenic Umbric Paleaquults","#F159AF"
"Arenic Ustalfic Haplargids","#889B5D"
"Arenic Ustic Calciargids","#608BCA"
"Arenic Ustic Haplargids","#67A75E"
"Arenic Ustic Paleargids","#8E985C"
"Arenic Ustollic Haplargids","#7A5ED8"
"Argiaquic Argialbolls","#93955B"
"Argiaquic Cryoborolls","#60B8C0"
"Argiaquic Xeric Argialbolls","#855ED9"
"Argic Calciorthids","#608ECA"
"Argic Cryaquolls","#60B386"
"Argic Cryoborolls","#78A15E"
"Argic Cryopsamments","#F059B0"
"Argic Duraquolls","#846157"
"Argic Duricryolls","#5FB17F"
"Argic Durixerolls","#60A7C4"
"Argic Endoaquods","#94925B"
"Argic Fragiaquods","#FC565D"
"Argic Lithic Cryoborolls","#5FA95F"
"Argic Pachic Cryoborolls","#CE5CE4"
"Argic Petrocalcids","#8B7459"
"Argic Quartzipsamments","#60B388"
"Argic Udipsamments","#EB5BD2"
"Argic Ustic Quartzipsamments","#60BCB2"
"Argic Ustipsamments","#60AEC2"
"Argic Vertic Cryoborolls","#F3599E"
"Argic Xeropsamments","#895EDA"
"Argidic","#8F805A"
"Argidic Argidurids","#AC5DDF"
"Argidic Durixerolls","#60B6C0"
"Argiduridic Argixerolls","#ED5AC9"
"Argiduridic Durixerolls","#AE5DE0"
"Argiduridic Durustolls","#93955B"
"Argixerollic","#6FA45E"
"Aridic Argiborolls","#73A35E"
"Aridic Argiustolls","#60BEBE"
"Aridic Argixerolls","#EF5AB8"
"Aridic Calciborolls","#889A5C"
"Aridic Calcic Argixerolls","#FA5769"
"Aridic Calciustepts","#835F57"
"Aridic Calciusterts","#62A85F"
"Aridic Calciustolls","#5FAE71"
"Aridic Calcixererts","#7BA05D"
"Aridic Calcixerolls","#EC5ACC"
"Aridic Duraquerts","#60A1C6"
"Aridic Duric Haploxerolls","#856357"
"Aridic Duric Haplustolls","#815ED9"
"Aridic Durixererts","#91965C"
"Aridic Durixerolls","#5F67D1"
"Aridic Durochrepts","#6090C9"
"Aridic Durustolls","#69A65E"
"Aridic Dystraquerts","#866557"
"Aridic Dystrustepts","#F95773"
"Aridic Dystrusterts","#8A9A5C"
"Aridic Endoaquerts","#5FB17D"
"Aridic Epiaquerts","#975EDC"
"Aridic Eutroboralfs","#615FD3"
"Aridic Glossic Natrustalfs","#839D5D"
"Aridic Gypsiusterts","#F95772"
"Aridic Haploborolls","#8F975C"
"Aridic Haploxererts","#5F6DD0"
"Aridic Haploxerolls","#8D985C"
"Aridic Haplustalfs","#60BBAF"
"Aridic Haplustepts","#ED5AC5"
"Aridic Haplusterts","#6093C9"
"Aridic Haplustolls","#925EDC"
"Aridic Humustepts","#8E985C"
"Aridic Kandiustalfs","#928D5B"
"Aridic Kandiustults","#635FD4"
"Aridic Kanhaplustalfs","#8F975C"
"Aridic Kanhaplustults","#FA576B"
"Aridic Leptic Haplusterts","#60BEBD"
"Aridic Leptic Natrustalfs","#60B8C0"
"Aridic Leptic Natrustolls","#815956"
"Aridic Lithic Argiustolls","#74A25E"
"Aridic Lithic Argixerolls","#6DA55E"
"Aridic Lithic Calcixerolls","#5F7ACE"
"Aridic Lithic Haploxerolls","#B15DE0"
"Aridic Lithic Haplustepts","#AD5DE0"
"Aridic Lithic Haplustolls","#60B9A6"
"Aridic Lithic Ustochrepts","#FC5657"
"Aridic Lithic Ustorthents","#EA5BDC"
"Aridic Natrargids","#655FD4"
"Aridic Natriborolls","#60B48A"
"Aridic Natrixerolls","#8C7759"
"Aridic Natrustalfs","#8A9A5C"
"Aridic Natrustolls","#60B89E"
"Aridic Pachic","#5FB07B"
"Aridic Paleustalfs","#60BCB2"
"Aridic Paleustolls","#859C5D"
"Aridic Palexerolls","#8D7B59"
"Aridic Petrocalcic Palexerolls","#8F975C"
"Aridic Salaquerts","#EB5BD6"
"Aridic Salusterts","#60A6C4"
"Aridic Torriorthents","#7AA05D"
"Aridic Ustifluvents","#F65886"
"Aridic Ustipsamments","#5F83CC"
"Aridic Ustochrepts","#5FB180"
"Aridic Ustorthents","#60BDB8"
"Aridic Ustropepts","#60ABC3"
"Aridic Vermiborolls","#5F5FD3"
"Boralfic Argiborolls","#74A25E"
"Boralfic Argiustolls","#876A58"
"Boralfic Argixerolls","#BC5DE2"
"Boralfic Cryoborolls","#60BDB6"
"Boralfic Cryorthods","#846157"
"Boralfic Lithic Cryoborolls","#856357"
"Boralfic Udertic Argiborolls","#809E5D"
"Boralfic Udic Argiborolls","#725ED6"
"Borollic Calciorthids","#60B694"
"Borollic Camborthids","#6B5FD5"
"Borollic Glossic Natrargids","#6087CB"
"Borollic Haplargids","#F45899"
"Borollic Lithic Calciorthids","#93955B"
"Borollic Lithic Camborthids","#60BEBC"
"Borollic Lithic Haplargids","#FA5769"
"Borollic Natrargids","#935EDC"
"Borollic Paleargids","#819E5D"
"Borollic Paleorthids","#DD5CE6"
"Borollic Torriorthents","#C15DE2"
"Borollic Vertic Camborthids","#5FA95F"
"Borollic Vertic Haplargids","#905EDB"
"Borollic Vertic Paleargids","#866758"
"Calciargidic Argixerolls","#60BBB0"
"Calciargidic Paleustolls","#866658"
"Calcic Anhyorthels","#896F58"
"Calcic Anhyturbels","#93905B"
"Calcic Aquisalids","#93905B"
"Calcic Argicryolls","#835D56"
"Calcic Argigypsids","#F45895"
"Calcic Argiudolls","#60BAA9"
"Calcic Argixerolls","#66A75E"
"Calcic Cryaquolls","#60B0C2"
"Calcic Cryoborolls","#60A6C4"
"Calcic Duricryolls","#60BAA8"
"Calcic Gypsicryids","#869B5D"
"Calcic Gypsiorthids","#876A58"
"Calcic Haplocryepts","#5F6AD1"
"Calcic Haplocryolls","#60B89F"
"Calcic Haplosalids","#60B6C0"
"Calcic Haplotorrands","#61A85F"
"Calcic Haploxeralfs","#866657"
"Calcic Haploxerands","#F75780"
"Calcic Haploxerepts","#EF5ABD"
"Calcic Haploxerolls","#60A5C4"
"Calcic Hapludolls","#5FAD6C"
"Calcic Haplustalfs","#EB5BD4"
"Calcic Haplustands","#60B7C0"
"Calcic Haplustepts","#F6588B"
"Calcic Haplusterts","#896E58"
"Calcic Lithic Petrocalcids","#805656"
"Calcic Natrudolls","#5F73CF"
"Calcic Pachic Argicryolls","#B45DE1"
"Calcic Pachic Argixerolls","#76A25E"
"Calcic Pachic Cryoborolls","#865EDA"
"Calcic Pachic Haplocryolls","#FC5658"
"Calcic Pachic Haploxerolls","#8E7F5A"
"Calcic Paleargids","#90855A"
"Calcic Paleudolls","#62A85F"
"Calcic Paleustolls","#B55DE1"
"Calcic Palexeralfs","#735ED6"
"Calcic Petrocalcids","#6092C9"
"Calcic Petrogypsids","#CF5CE4"
"Calcic Rhodoxeralfs","#60B285"
"Calcic Udic Haplustalfs","#F75883"
"Calcic Udic Haplustepts","#5FB17E"
"Calcic Udic Ustochrepts","#ED5AC6"
"Calcic Ustivitrands","#EA5BDC"
"Calcic Ustochrepts","#5F7ECD"
"Calcic Vitritorrands","#5F6AD1"
"Calcidic Argiustolls","#EB5BD1"
"Calcidic Haploxerolls","#91895A"
"Calcidic Haplustalfs","#846057"
"Calcidic Paleustalfs","#715ED6"
"Calcidic Paleustolls","#876858"
"Calciorthidic Haploxerolls","#60B799"
"Calciorthidic Paleustalfs","#ED5AC9"
"Calciorthidic Paleustolls","#60B3C1"
"Calciorthidic Ustochrepts","#785ED7"
"Calcixerollic Xerochrepts","#BF5DE2"
"Cambic Gypsiorthids","#DF5CE6"
"Cambidic Durixerolls","#94925B"
"Cambidic Haplodurids","#60B6C0"
"Chromic Calcitorrerts","#8B7559"
"Chromic Calciusterts","#60B48A"
"Chromic Calcixererts","#A85DDF"
"Chromic Duraquerts","#60AFC2"
"Chromic Durixererts","#5FAD6D"
"Chromic Dystraquerts","#60B387"
"Chromic Dystruderts","#79A15E"
"Chromic Dystrusterts","#FA576A"
"Chromic Endoaquerts","#60A95F"
"Chromic Epiaquerts","#94955B"
"Chromic Gypsitorrerts","#8E7D5A"
"Chromic Gypsiusterts","#609AC7"
"Chromic Haplocryerts","#E15CE7"
"Chromic Haplotorrerts","#F359A0"
"Chromic Haploxererts","#7E9F5D"
"Chromic Hapluderts","#6088CB"
"Chromic Haplusterts","#6DA55E"
"Chromic Pelloxererts","#6EA55E"
"Chromic Salaquerts","#E25CE7"
"Chromic Salitorrerts","#5F73CF"
"Chromic Salusterts","#B05DE0"
"Chromic Udic Haplusterts","#72A35E"
"Chromic Vertic Albaqualfs","#609CC7"
"Chromic Vertic Endoaqualfs","#5F69D1"
"Chromic Vertic Epiaqualfs","#5F61D2"
"Chromic Vertic Hapludalfs","#91885A"
"Chromudic","#5FAC68"
"Cryic Fragiorthods","#60ACC3"
"Cryic Lithic Rendolls","#68A65E"
"Cryic Pachic Paleborolls","#805655"
"Cryic Paleborolls","#805ED8"
"Cryic Placohumods","#8E7F5A"
"Cryic Rendolls","#608DCA"
"Cryic Sphagnofibrists","#5FB07B"
"Cumulic Cryaquolls","#CC5CE4"
"Cumulic Cryoborolls","#785ED7"
"Cumulic Endoaquolls","#5FAF74"
"Cumulic Epiaquolls","#879B5D"
"Cumulic Haplaquolls","#5F6ED0"
"Cumulic Haploborolls","#60BEBE"
"Cumulic Haplocryolls","#60B9A3"
"Cumulic Haplogelolls","#60B591"
"Cumulic Haploxerolls","#879B5D"
"Cumulic Hapludolls","#60BBBF"
"Cumulic Haplumbrepts","#91965C"
"Cumulic Haplustolls","#609BC7"
"Cumulic Humaquepts","#8B995C"
"Cumulic Humixerepts","#829D5D"
"Cumulic Humudepts","#5F7ACE"
"Cumulic Molliturbels","#FA5667"
"Cumulic Mollorthels","#7AA05D"
"Cumulic Udertic Haploborolls","#899A5C"
"Cumulic Udic Haploborolls","#FA576D"
"Cumulic Ultic Haploxerolls","#825B56"
"Cumulic Umbriturbels","#8B7559"
"Cumulic Umbrorthels","#5FAA63"
"Cumulic Vertic Endoaquolls","#885EDA"
"Cumulic Vertic Epiaquolls","#94955B"
"Cumulic Vertic Haploborolls","#F159AD"
"Durargidic Argixerolls","#849C5D"
"Duric Alaquods","#EF5ABA"
"Duric Argiustolls","#60BEBD"
"Duric Argixerolls","#5FAC6B"
"Duric Calciorthids","#A35DDE"
"Duric Camborthids","#839D5D"
"Duric Cryaquods","#856457"
"Duric Cryoborolls","#60A1C5"
"Duric Endoaquands","#825ED9"
"Duric Endoaquolls","#875EDA"
"Duric Epiaquands","#DC5CE6"
"Duric Epiaquolls","#60B281"
"Duric Halaquepts","#64A85F"
"Duric Haplaquolls","#F359A0"
"Duric Haplargids","#8B7459"
"Duric Haplocalcids","#CB5CE4"
"Duric Haplorthods","#805756"
"Duric Haplosalids","#938F5B"
"Duric Haplotorrands","#F95772"
"Duric Haploxerolls","#60BAA6"
"Duric Hapludands","#5F61D2"
"Duric Haplustolls","#74A25E"
"Duric Histic Placaquands","#8C7759"
"Duric Natrargids","#BF5DE2"
"Duric Natrixerolls","#5FA960"
"Duric Natrustolls","#DE5CE6"
"Duric Paleargids","#BD5DE2"
"Duric Palexerolls","#A05DDE"
"Duric Petroargids","#839D5D"
"Duric Petrocryids","#60BCB4"
"Duric Placaquands","#60B58E"
"Duric Torriarents","#F05AB6"
"Duric Torrifluvents","#7BA05D"
"Duric Torriorthents","#60B7C0"
"Duric Torripsamments","#735ED6"
"Duric Vitraquands","#F3599E"
"Duric Vitritorrands","#6EA55E"
"Duric Xerarents","#A25DDE"
"Duric Xeric Haplocalcids","#608CCA"
"Duric Xeric Petroargids","#886C58"
"Duric Xeric Petrocryids","#7C9F5D"
"Duric Xeric Torrifluvents","#F45899"
"Duric Xeric Torriorthents","#886A58"
"Duric Xeric Torripsamments","#5FAC68"
"Duridic Haploxerolls","#66A75E"
"Duridic Torrifluvents","#63A85F"
"Duridic Xeric Torrifluvents","#E85BE6"
"Durinodic Albaqualfs","#829D5D"
"Durinodic Aquicambids","#8F805A"
"Durinodic Calciargids","#60B9A5"
"Durinodic Gypsiargids","#5F6AD1"
"Durinodic Haplargids","#60B0C2"
"Durinodic Haplocalcids","#B05DE0"
"Durinodic Haplocambids","#94955B"
"Durinodic Natrargids","#8B7459"
"Durinodic Paleargids","#C55CE3"
"Durinodic Ustorthents","#7B5ED8"
"Durinodic Xeric Aquicambids","#805ED9"
"Durinodic Xeric Calciargids","#5FAE73"
"Durinodic Xeric Haplargids","#60A5C5"
"Durinodic Xeric Haplocalcids","#B95DE1"
"Durinodic Xeric Haplocambids","#846057"
"Durinodic Xeric Natrargids","#F95774"
"Durinodic Xeric Paleargids","#79A15E"
"Durinodic Xerofluvents","#8F825A"
"Durinodic Xeropsamments","#60A95F"
"Durinodic Xerorthents","#819E5D"
"Durixerollic Calciorthids","#92965C"
"Durixerollic Camborthids","#6094C8"
"Durixerollic Haplargids","#60B387"
"Durixerollic Lithic Camborthids","#60BBAE"
"Durixerollic Natrargids","#A25DDE"
"Durochreptic","#F85776"
"Durorthidic Albaqualfs","#846157"
"Durorthidic Torrifluvents","#F55893"
"Durorthidic Torriorthents","#829D5D"
"Durorthidic Torripsamments","#8E7F5A"
"Durorthidic Ustorthents","#EB5BD5"
"Durorthidic Xeric Torrifluvents","#8D7C5A"
"Durorthidic Xeric Torriorthents","#7C9F5D"
"Durorthidic Xeric Torripsamments","#F3599D"
"Durorthidic Xerofluvents","#5F83CC"
"Durorthidic Xeropsamments","#60B696"
"Durorthidic Xerorthents","#60B79A"
"Dystric Cryandepts","#60B9BF"
"Dystric Cryochrepts","#846157"
"Dystric Cryumbrepts","#61A85F"
"Dystric Durochrepts","#829D5D"
"Dystric Entic Durochrepts","#8E5EDB"
"Dystric Eutrochrepts","#5F78CE"
"Dystric Eutrudepts","#8B995C"
"Dystric Fluventic Eutrochrepts","#F5588D"
"Dystric Fluventic Eutrudepts","#E85BE6"
"Dystric Fluventic Xerochrepts","#EA5BD9"
"Dystric Haplustands","#60B9A5"
"Dystric Haplustepts","#FB5665"
"Dystric Lithic Cryandepts","#69A65E"
"Dystric Lithic Xerochrepts","#60A5C4"
"Dystric Ustochrepts","#745ED6"
"Dystric Vitric Haplustands","#5F81CC"
"Dystric Xerochrepts","#7D9F5D"
"Dystric Xeropsamments","#5FAC6B"
"Dystric Xerorthents","#825B56"
"Dystropeptic","#6097C8"
"Entic Alorthods","#6091C9"
"Entic Calcitorrerts","#5FAB67"
"Entic Calciusterts","#6EA45E"
"Entic Calcixererts","#60BDB7"
"Entic Chromoxererts","#90855A"
"Entic Chromuderts","#B45DE1"
"Entic Chromusterts","#60BABF"
"Entic Cryandepts","#60B5C0"
"Entic Cryaquods","#F8577B"
"Entic Cryorthods","#60A0C6"
"Entic Cryumbrepts","#69A65E"
"Entic Durixerepts","#938F5B"
"Entic Durixerolls","#78A15E"
"Entic Durochrepts","#8F835A"
"Entic Durorthids","#608DCA"
"Entic Durustolls","#608FCA"
"Entic Dystrandepts","#75A25E"
"Entic Dystraquerts","#DD5CE6"
"Entic Dystruderts","#EA5BD8"
"Entic Dystrusterts","#6D5FD5"
"Entic Endoaquerts","#609EC6"
"Entic Epiaquerts","#5FB078"
"Entic Eutrandepts","#5F75CF"
"Entic Fragiorthods","#935EDC"
"Entic Grossarenic Alorthods","#90975C"
"Entic Gypsiusterts","#8B7459"
"Entic Haplaquepts","#F95775"
"Entic Haplaquods","#91965C"
"Entic Haploborolls","#60B58F"
"Entic Haplocryods","#94945B"
"Entic Haplohumods","#928A5B"
"Entic Haplorthods","#609BC7"
"Entic Haplotorrerts","#6AA65E"
"Entic Haploxererts","#8B995C"
"Entic Haploxerolls","#895EDA"
"Entic Hapluderts","#609FC6"
"Entic Hapludolls","#F3599F"
"Entic Haplumbrepts","#FC5656"
"Entic Haplusterts","#60B48A"
"Entic Haplustolls","#6BA55E"
"Entic Haprendolls","#60BBBF"
"Entic Humixerepts","#F85776"
"Entic Humudepts","#8E985C"
"Entic Lithic Haplorthods","#8A7159"
"Entic Paleustolls","#EC5BD0"
"Entic Pelloxererts","#60AFC2"
"Entic Pelluderts","#AF5DE0"
"Entic Pellusterts","#60A9C4"
"Entic Rendolls","#705FD6"
"Entic Salaquerts","#60A95F"
"Entic Salitorrerts","#C65CE3"
"Entic Salusterts","#8E7D5A"
"Entic Sideraquods","#60B2C1"
"Entic Udic Haplusterts","#C85CE3"
"Entic Ultic Haploxerolls","#64A85F"
"Entic Vermudolls","#60ABC3"
"Entic Vermustolls","#695FD5"
"Entic Xerumbrepts","#8D7C5A"
"Epiaquic","#775ED7"
"Epiaquic Haplustults","#BD5DE2"
"Epiaquic Orthoxic","#5FAC69"
"Eutric Acrudox","#FB5665"
"Eutric Acrustox","#60B9BF"
"Eutric Duricryands","#7F9E5D"
"Eutric Durudands","#D65CE5"
"Eutric Dystrocryepts","#7CA05D"
"Eutric Fulvicryands","#60BCB4"
"Eutric Fulvudands","#F45896"
"Eutric Glossoboralfs","#7D5ED8"
"Eutric Glossocryalfs","#77A15E"
"Eutric Haplocryalfs","#938F5B"
"Eutric Hapludands","#859C5D"
"Eutric Humicryepts","#F259A9"
"Eutric Humigelepts","#60BCB4"
"Eutric Humudepts","#6AA65E"
"Eutric Hydric Melanudands","#60B385"
"Eutric Hydrudands","#5FB17E"
"Eutric Lithic Fulvudands","#879B5D"
"Eutric Melanudands","#886D58"
"Eutric Oxyaquic Duricryands","#928B5B"
"Eutric Pachic Fulvicryands","#5FAF76"
"Eutric Pachic Fulvudands","#866658"
"Eutric Placudands","#886C58"
"Eutric Thaptic Hapludands","#D55CE5"
"Eutric Vitric Melanudands","#8E7E5A"
"Eutric Vitric Placudands","#60BCB5"
"Eutrochreptic Rendolls","#845ED9"
"Eutropeptic Rendolls","#5F64D2"
"Ferrudalfic Umbraqualfs","#879B5D"
"Fibric Borohemists","#8A7259"
"Fibric Borosaprists","#5FAA62"
"Fibric Frasiwassists","#866557"
"Fibric Haplohemists","#F65889"
"Fibric Haplowassists","#6098C8"
"Fibric Medihemists","#93955B"
"Fibric Medisaprists","#B25DE0"
"Fibric Sulfiwassists","#60BDBE"
"Fibric Terric Borohemists","#60B89F"
"Fibric Terric Borosaprists","#E95BE1"
"Fibric Terric Medihemists","#879B5D"
"Fibric Terric Medisaprists","#955EDC"
"Fibric Terric Tropohemists","#F55891"
"Fibric Terric Troposaprists","#60BBAF"
"Fibric Tropohemists","#93905B"
"Fibric Troposaprists","#885EDA"
"Fluvaquentic Aquorthels","#866657"
"Fluvaquentic Borofibrists","#5F74CF"
"Fluvaquentic Borohemists","#BA5DE1"
"Fluvaquentic Borosaprists","#835E57"
"Fluvaquentic Cryaquepts","#5F71D0"
"Fluvaquentic Cryoborolls","#AD5DE0"
"Fluvaquentic Cryofibrists","#E85BE6"
"Fluvaquentic Cryohemists","#5FB079"
"Fluvaquentic Cryosaprists","#60B89F"
"Fluvaquentic Dystrochrepts","#819D5D"
"Fluvaquentic Dystrocryepts","#60BDBA"
"Fluvaquentic Dystroxerepts","#E85BE3"
"Fluvaquentic Dystrudepts","#61A95F"
"Fluvaquentic Endoaquepts","#825C56"
"Fluvaquentic Endoaquolls","#E85BE3"
"Fluvaquentic Epiaquepts","#60BBAE"
"Fluvaquentic Epiaquolls","#815A56"
"Fluvaquentic Eutrochrepts","#5FAE70"
"Fluvaquentic Eutropepts","#90975C"
"Fluvaquentic Eutrudepts","#7F5ED8"
"Fluvaquentic Fibristels","#8A7259"
"Fluvaquentic Gelaquepts","#70A45E"
"Fluvaquentic Haplaquepts","#60B591"
"Fluvaquentic Haplaquolls","#809E5D"
"Fluvaquentic Haploborolls","#5F6ED0"
"Fluvaquentic Haplocryepts","#785ED7"
"Fluvaquentic Haplocryolls","#835ED9"
"Fluvaquentic Haplofibrists","#609CC7"
"Fluvaquentic Haplohemists","#6089CB"
"Fluvaquentic Haplorthels","#8F835A"
"Fluvaquentic Haplosaprists","#846057"
"Fluvaquentic Haploxerolls","#79A15E"
"Fluvaquentic Hapludolls","#675FD4"
"Fluvaquentic Haplustolls","#8A7159"
"Fluvaquentic Hemistels","#645FD4"
"Fluvaquentic Historthels","#5F65D2"
"Fluvaquentic Humaquepts","#76A25E"
"Fluvaquentic Humicryepts","#C55CE3"
"Fluvaquentic Humudepts","#CE5CE4"
"Fluvaquentic Medifibrists","#60BDBA"
"Fluvaquentic Medihemists","#8E7F5A"
"Fluvaquentic Medisaprists","#5F7ECD"
"Fluvaquentic Sapristels","#815ED9"
"Fluvaquentic Sphagnofibrists","#F159AA"
"Fluvaquentic Tropofibrists","#609EC6"
"Fluvaquentic Tropohemists","#93915B"
"Fluvaquentic Troposaprists","#DC5CE6"
"Fluvaquentic Vertic Endoaquolls","#8D7C5A"
"Fluvaquentic Vertic Epiaquolls","#856357"
"Fluvaquentic Xerochrepts","#F5588F"
"Fluventic Aquicambids","#60B389"
"Fluventic Calciudolls","#91965C"
"Fluventic Camborthids","#938F5B"
"Fluventic Cryoborolls","#60B3C1"
"Fluventic Dystrochrepts","#60B9A2"
"Fluventic Dystrocryepts","#F5588E"
"Fluventic Dystrogelepts","#6CA55E"
"Fluventic Dystropepts","#5F68D1"
"Fluventic Dystroxerepts","#91885A"
"Fluventic Dystrudepts","#79A15E"
"Fluventic Dystrustepts","#F6588A"
"Fluventic Endoaquepts","#7AA05E"
"Fluventic Eutrochrepts","#60B0C2"
"Fluventic Eutropepts","#5FB07B"
"Fluventic Eutrudepts","#5FB17E"
"Fluventic Frasiwassents","#5FAB65"
"Fluventic Haplaquolls","#5F77CE"
"Fluventic Haploborolls","#695FD5"
"Fluventic Haplocambids","#60B285"
"Fluventic Haplocryepts","#60A95F"
"Fluventic Haplocryolls","#5F74CF"
"Fluventic Haplogelepts","#60BDBE"
"Fluventic Haplorthels","#EC5BCE"
"Fluventic Haploxerepts","#815A56"
"Fluventic Haploxerolls","#E35CE7"
"Fluventic Hapludolls","#8B7459"
"Fluventic Haplumbrepts","#6D5FD5"
"Fluventic Haplustepts","#7D9F5D"
"Fluventic Haplustolls","#889B5D"
"Fluventic Historthels","#5F75CF"
"Fluventic Humic Dystroxerepts","#8C7959"
"Fluventic Humic Dystrudepts","#5FAB65"
"Fluventic Humicryepts","#6D5FD5"
"Fluventic Humigelepts","#F45895"
"Fluventic Humitropepts","#60BCBF"
"Fluventic Humixerepts","#F3599C"
"Fluventic Humudepts","#A45DDE"
"Fluventic Medihemists","#8B5EDA"
"Fluventic Psammowassents","#9A5EDD"
"Fluventic Sulfiwassents","#645FD4"
"Fluventic Umbric Dystrochrepts","#60B79B"
"Fluventic Ustochrepts","#70A45E"
"Fluventic Ustropepts","#8B7359"
"Fluventic Xerochrepts","#896E58"
"Fluventic Xerumbrepts","#E85BE4"
"Folistic Dystrocryepts","#94935B"
"Folistic Fulvicryands","#829D5D"
"Folistic Haplocryands","#665FD4"
"Folistic Haplocryods","#60B48D"
"Folistic Haplorthels","#645FD4"
"Folistic Haploturbels","#C65CE3"
"Folistic Humicryods","#EC5ACE"
"Folistic Molliturbels","#F5588E"
"Folistic Mollorthels","#F7577E"
"Folistic Umbriturbels","#876858"
"Folistic Umbrorthels","#EE5AC2"
"Folistic Vitricryands","#60ABC3"
"Fragiaquic Dystrochrepts","#845ED9"
"Fragiaquic Dystroxerepts","#E05CE7"
"Fragiaquic Dystrudepts","#6EA45E"
"Fragiaquic Eutroboralfs","#5FAD6C"
"Fragiaquic Eutrochrepts","#845F57"
"Fragiaquic Eutrudepts","#60B48E"
"Fragiaquic Glossoboralfs","#6097C8"
"Fragiaquic Glossudalfs","#D25CE5"
"Fragiaquic Haplorthods","#AA5DDF"
"Fragiaquic Haploxeralfs","#EC5ACD"
"Fragiaquic Hapludalfs","#869C5D"
"Fragiaquic Hapludults","#FC565B"
"Fragiaquic Kanhapludults","#F85777"
"Fragiaquic Paleudalfs","#FA5768"
"Fragiaquic Paleudults","#9C5DDD"
"Fragiaquic Palexeralfs","#F65888"
"Fragiaquic Xerochrepts","#876858"
"Fragic Dystrochrepts","#5F60D3"
"Fragic Dystroxerepts","#60BEBD"
"Fragic Dystrudepts","#F55892"
"Fragic Endoaqualfs","#60B79C"
"Fragic Endoaquepts","#8D7A59"
"Fragic Epiaqualfs","#EC5ACB"
"Fragic Epiaquepts","#60BAA9"
"Fragic Epiaquults","#5FA95F"
"Fragic Eutroboralfs","#C75CE3"
"Fragic Eutrochrepts","#ED5AC8"
"Fragic Eutrudepts","#876A58"
"Fragic Glossaqualfs","#8E7F5A"
"Fragic Glossoboralfs","#60B389"
"Fragic Glossocryalfs","#896E58"
"Fragic Glossudalfs","#8F815A"
"Fragic Haplorthods","#7D9F5D"
"Fragic Haploxeralfs","#F95770"
"Fragic Haploxerepts","#7F9E5D"
"Fragic Hapludalfs","#896F58"
"Fragic Hapludults","#60B389"
"Fragic Kanhapludults","#A95DDF"
"Fragic Oxyaquic Hapludalfs","#60BDB6"
"Fragic Paleudalfs","#A55DDE"
"Fragic Paleudults","#785ED7"
"Fragic Palexeralfs","#D15CE5"
"Fragic Xerochrepts","#F85778"
"Glacic Anhyorthels","#835E57"
